word,part_of_speech,meaning,example
minh chủ,danh từ,"(cũ, hiếm) người đứng đầu một liên minh hoặc một đảng phái nào đó thời phong kiến: minh chủ võ lâm (người đứng đầu trong giới võ thuật)",minh chủ võ lâm (người đứng đầu trong giới võ thuật)
mình mẩy,danh từ,(khẩu ngữ) thân thể: mình mẩy lấm láp,mình mẩy lấm láp
minh quân,danh từ,(cũ) vị vua sáng suốt: đấng minh quân,đấng minh quân
minh tinh,danh từ,"ngôi sao sáng; thường dùng để ví các nghệ sĩ điện ảnh, có tài năng và danh tiếng lẫy lừng: minh tinh màn bạc",minh tinh màn bạc
minh tinh,danh từ,"dải lụa hay giấy có ghi tên tuổi, chức tước của người chết treo lên cao khi đưa đám ma theo tục lệ cổ truyền: ""Cóc chết lại có minh tinh, Thất nghiệp nằm đình có trống cầm canh."" (ca dao)","""Cóc chết lại có minh tinh, Thất nghiệp nằm đình có trống cầm canh."" (ca dao)"
mít tinh,danh từ,"cuộc tụ tập quần chúng đông đảo để tham dự một sự kiện chính trị, xã hội quan trọng nào đó: đi dự mít tinh mừng quốc khánh",đi dự mít tinh mừng quốc khánh
móc câu,danh từ,"dụng cụ có một cái móc hình lưỡi câu, thường dùng để móc vào mà kéo những vật ở bên trong hay ở xa: dùng móc câu kéo cái phao lên bờ",dùng móc câu kéo cái phao lên bờ
móc hàm,danh từ,"trọng lượng gia súc sau khi đã chọc tiết, cạo lông, và lấy hết lòng (phân biệt với trọng lượng gia súc khi còn sống): cân móc hàm * giá thịt lợn móc hàm",cân móc hàm * giá thịt lợn móc hàm
móc xích,danh từ,đốt móc vào với những đốt khác của một dây xích: tháo rời từng móc xích,tháo rời từng móc xích
móc mưa,danh từ,"(cũ, văn chương) như mưa móc: ""Móc mưa ơn đội thánh minh, Thanh bình hai chữ góp danh với đời."" (TTK)","""Móc mưa ơn đội thánh minh, Thanh bình hai chữ góp danh với đời."" (TTK)"
mọi khi,danh từ,"những lần trước đây, trước kia: việc này mọi khi đều do anh ấy làm",việc này mọi khi đều do anh ấy làm
móng giò,danh từ,đoạn ngắn của chân giò lợn từ khuỷu đến các móng: bún móng giò,bún móng giò
mong ước,danh từ,"điều mong muốn, ước ao: không có mong ước gì",không có mong ước gì
mọt dân,danh từ,"từ dùng để ví những kẻ chuyên lợi dụng chức quyền đục khoét, bòn rút của dân: kẻ tham nhũng mọt dân",kẻ tham nhũng mọt dân
mọt sách,danh từ,"(khẩu ngữ) từ dùng để ví người không biết gì ngoài sách vở, sống xa rời thực tế: anh ta là con mọt sách",anh ta là con mọt sách
mốc giới,danh từ,"mốc đánh dấu giới hạn giữa hai khu vực, hai địa phận liền nhau: mốc giới địa chính",mốc giới địa chính
mối hàng,danh từ,khách hàng quen thuộc: mất mối hàng,mất mối hàng
mối lái,danh từ,người làm mối: lấy nhau qua mối lái,lấy nhau qua mối lái
mối manh,danh từ,(hiếm) như manh mối: tìm ra mối manh của vụ việc * mối manh làm ăn,tìm ra mối manh của vụ việc * mối manh làm ăn
môi sinh,danh từ,môi trường sống của sinh vật: bảo vệ môi sinh,bảo vệ môi sinh
mồm mép,danh từ,"(khẩu ngữ) mồm và mép; thường dùng để chỉ khả năng ăn nói hoạt bát, lém lỉnh: mồm mép liến thoắng",mồm mép liến thoắng
môn bài,danh từ,"giấy phép mở cửa hàng buôn bán, kinh doanh: đóng thuế môn bài (thuế kinh doanh buôn bán)",đóng thuế môn bài (thuế kinh doanh buôn bán)
môn phái,danh từ,(cũ) như trường phái.,đệ tử của môn phái Thiếu Lâm
môn sinh,danh từ,"(cũ) học trò, trong mối quan hệ với thầy dạy: môn sinh của trường phái yoga",môn sinh của trường phái yoga
mống cụt,danh từ,"đoạn cầu vồng hiện ra ở chân trời: mống bên đông, vồng bên tây, chẳng mưa dây thì bão giật (tng)","mống bên đông, vồng bên tây, chẳng mưa dây thì bão giật (tng)"
mống cụt,danh từ,mầm mới nhú: mống khoai,mống khoai
mống cụt,danh từ,"(thông tục) từ dùng để chỉ từng cá thể người hoặc động vật, thường với số lượng ít (hàm ý coi thường): không còn một mống * nhà chỉ có mấy mống",không còn một mống * nhà chỉ có mấy mống
mộng mẹo,danh từ,"(khẩu ngữ) mộng để lắp, ghép cho chặt, khít (nói khái quát): chiếc bàn cũ, mộng mẹo lỏng lẻo hết cả","chiếc bàn cũ, mộng mẹo lỏng lẻo hết cả"
mồng thất,danh từ,(khẩu ngữ) ngày không có trong lịch; ý nói chẳng bao giờ có ngày đó cả: đợi đến mồng thất * làm thế thì đến mồng thất mới xong,đợi đến mồng thất * làm thế thì đến mồng thất mới xong
mồng tơi,danh từ,"cây trồng thân leo, lá tròn, mềm, to và dày, có nhiều chất nhớt, lá và ngọn thường dùng nấu canh: rau mồng tơi",rau mồng tơi
mộng ước,danh từ,(văn chương) điều tốt đẹp luôn luôn mơ ước có được: mộng ước không thành * nuôi mộng ước trở thành phi công,mộng ước không thành * nuôi mộng ước trở thành phi công
một chiều,danh từ,"hướng duy nhất, không có hướng ngược lại: đường một chiều * dòng điện một chiều",đường một chiều * dòng điện một chiều
một chiều,danh từ,"chỉ một phía, một mặt, thiếu hẳn những phía khác, mặt khác: suy nghĩ một chiều * thông tin một chiều * đoàn kết một chiều",suy nghĩ một chiều * thông tin một chiều * đoàn kết một chiều
một cách,danh từ,"cách thức diễn ra như thế nào đó của hành động, hiện tượng, sự việc: nói một cách dứt khoát * xử sự một cách có văn hoá",nói một cách dứt khoát * xử sự một cách có văn hoá
một cách,danh từ,vẻ biểu hiện ra như thế nào đó của tính chất: xấu một cách khủng khiếp * im lặng một cách đáng sợ,xấu một cách khủng khiếp * im lặng một cách đáng sợ
một chạp,danh từ,(khẩu ngữ) tháng một và tháng chạp (nói gộp); chỉ cuối năm: hai người sẽ tổ chức vào cữ một chạp,hai người sẽ tổ chức vào cữ một chạp
một chút,danh từ,mức độ không đáng kể: hơi buồn một chút * không một chút hối hận,hơi buồn một chút * không một chút hối hận
một đôi,danh từ,(khẩu ngữ) như một vài: bày tỏ một đôi lời * có gặp nhau một đôi lần,bày tỏ một đôi lời * có gặp nhau một đôi lần
một lòng,danh từ,tình cảm trước sau như một: một lòng yêu kính mẹ cha,một lòng yêu kính mẹ cha
một lòng,danh từ,tình cảm của tất cả mọi người như một trong một việc gì: đoàn kết một lòng * trên dưới một lòng,đoàn kết một lòng * trên dưới một lòng
một mai,danh từ,"(cũ, văn chương) một ngày nào đó sắp tới: ""Một mai cha yếu, mẹ già, Bát cơm ai đỡ, chén trà ai dâng?"" (ca dao)","""Một mai cha yếu, mẹ già, Bát cơm ai đỡ, chén trà ai dâng?"" (ca dao)"
một vài,danh từ,"một hoặc vài ba (nói về số lượng rất ít, không xác định): nói một vài câu ngắn gọn * ở lại chơi một vài ngày",nói một vài câu ngắn gọn * ở lại chơi một vài ngày
mùa màng,danh từ,cây trồng trong vụ sản xuất nông nghiệp (nói khái quát): bảo vệ mùa màng * châu chấu phá hoại mùa màng,bảo vệ mùa màng * châu chấu phá hoại mùa màng
mùa màng,danh từ,"mùa thu hoạch, vụ thu hoạch sản phẩm nông nghiệp: mùa màng bội thu * mùa màng thất bát",mùa màng bội thu * mùa màng thất bát
múa rối,danh từ,"loại hình nghệ thuật sân khấu biểu diễn bằng cách điều khiển các hình mẫu giống như người, vật: nhà hát múa rối * đi xem múa rối",nhà hát múa rối * đi xem múa rối
mục đích,danh từ,cái vạch ra làm đích nhằm đạt cho được: xác định rõ mục đích để phấn đấu * một việc làm không có mục đích,xác định rõ mục đích để phấn đấu * một việc làm không có mục đích
mục đồng,danh từ,"(cũ, văn chương) trẻ chăn trâu, chăn bò: lũ mục đồng * tiếng sáo của mục đồng",lũ mục đồng * tiếng sáo của mục đồng
mục kỉnh,danh từ,(cũ) kính đeo mắt cho người già hoặc người mắt kém: giương mục kỉnh,giương mục kỉnh
mục lục,danh từ,"bản ghi các đề mục với số trang tương ứng, theo trình tự trình bày trong sách, tạp chí (để ở đầu hoặc cuối sách, tạp chí): cuốn sách bị mất trang mục lục",cuốn sách bị mất trang mục lục
mục lục,danh từ,"danh mục sách báo, tư liệu, v.v. lập theo những quy tắc nhất định: tra mục lục sách của thư viện",tra mục lục sách của thư viện
mục tiêu,danh từ,"chỗ, điểm để nhằm vào: bắn trúng mục tiêu * phát hiện đúng mục tiêu",bắn trúng mục tiêu * phát hiện đúng mục tiêu
mục tiêu,danh từ,đích cần đạt tới để thực hiện nhiệm vụ: đạt được mục tiêu * đặt mục tiêu cụ thể cho từng giai đoạn,đạt được mục tiêu * đặt mục tiêu cụ thể cho từng giai đoạn
mũi đất,danh từ,(ng5): mũi đất Cà Mau,mũi đất Cà Mau
mũi dãi,danh từ,nước mũi và nước dãi (nói khái quát): mũi dãi đầy ngực,mũi dãi đầy ngực
múi giờ,danh từ,"phần mặt đất nằm giữa hai kinh tuyến cách nhau 150, trên đó được quy ước dùng chung một giờ, theo giờ của kinh tuyến giữa: Trái Đất có hai mươi bốn múi giờ",Trái Đất có hai mươi bốn múi giờ
mũi dùi,danh từ,"mũi nhọn của cái dùi; dùng để tượng trưng cho sự tập trung phê phán, đả kích một đối tượng, mục tiêu nào đó: chĩa mũi dùi vào nạn tham ô",chĩa mũi dùi vào nạn tham ô
mũi nhọn,danh từ,"lực lượng đi đầu, đi tiên phong theo một hướng nhất định: ngành công nghiệp mũi nhọn * mũi nhọn tấn công",ngành công nghiệp mũi nhọn * mũi nhọn tấn công
mùi soa,danh từ,"khăn nhỏ và mỏng, thường bỏ túi, để dùng vào các việc vệ sinh cá nhân: khăn mùi soa",khăn mùi soa
mũi tên,danh từ,"tên bắn đi bằng cung, nỏ: một mũi tên bắn trúng hai đích * mũi tên hòn đạn",một mũi tên bắn trúng hai đích * mũi tên hòn đạn
mũi tên,danh từ,"dấu hiệu có hình mũi tên, thường dùng để chỉ hướng: vạch một mũi tên * đi theo hướng chỉ của mũi tên",vạch một mũi tên * đi theo hướng chỉ của mũi tên
mụn nhọt,danh từ,mụn và nhọt (nói khái quát): người nổi đầy mụn nhọt,người nổi đầy mụn nhọt
mùn cưa,danh từ,"vụn gỗ nhỏ rơi ra khi cưa, xẻ: đun bếp bằng mùn cưa",đun bếp bằng mùn cưa
mùng tơi,danh từ,"cây trồng thân leo, lá tròn, mềm, to và dày, có nhiều chất nhớt, lá và ngọn thường dùng nấu canh: rau mồng tơi",rau mồng tơi
muối tiêu,danh từ,"muối ăn trộn với hạt tiêu, giã nhỏ: thịt gà chấm muối tiêu * lọ muối tiêu",thịt gà chấm muối tiêu * lọ muối tiêu
muối tiêu,danh từ,"màu lốm đốm bạc của tóc, sợi đen sợi trắng như màu muối tiêu: mái đầu muối tiêu * tóc muối tiêu",mái đầu muối tiêu * tóc muối tiêu
muối vừng,danh từ,"vừng và muối rang chín, giã nhỏ, trộn lẫn vào nhau, dùng làm thức ăn: cơm nắm muối vừng",cơm nắm muối vừng
muỗi mắt,danh từ,muỗi nhỏ: bé như muỗi mắt,bé như muỗi mắt
muôn dân,danh từ,"(cũ, hiếm) toàn thể dân chúng: muôn dân trăm họ * trị vì muôn dân",muôn dân trăm họ * trị vì muôn dân
muôn đời,danh từ,"thời gian hết đời này qua đời khác, mãi mãi về sau: lưu danh muôn đời",lưu danh muôn đời
muôn năm,danh từ,"thời gian tồn tại năm này qua năm khác, lâu dài, mãi mãi (thường dùng trong lời tung hô, chúc tụng): hoà bình thế giới muôn năm!",hoà bình thế giới muôn năm!
muôn một,danh từ,"(cũ, hiếm) khả năng không hay rất hiếm khi xảy ra, chỉ là một trong muôn nghìn khả năng, nhưng cũng có thể xảy ra: ""Chấp kinh nếu chẳng tòng quyền, Sợ khi muôn một chu tuyền làm sao?"" (NĐM)","""Chấp kinh nếu chẳng tòng quyền, Sợ khi muôn một chu tuyền làm sao?"" (NĐM)"
muôn ngàn,danh từ,như muôn vàn: muôn ngàn con sóng dội vào bờ,muôn ngàn con sóng dội vào bờ
muôn vàn,danh từ,số lượng nhiều đến mức không kể hết: khắc phục muôn vàn khó khăn,khắc phục muôn vàn khó khăn
muôn thuở,danh từ,"thời gian từ xưa đến nay và cả sau này, mãi mãi: khát vọng muôn thuở * lưu danh muôn thuở",khát vọng muôn thuở * lưu danh muôn thuở
muông thú,danh từ,thú rừng (nói khái quát): săn bắt muông thú,săn bắt muông thú
mưa bụi,danh từ,mưa hạt nhỏ li ti như những hạt bụi: trời rắc mưa bụi,trời rắc mưa bụi
mưa gió,danh từ,mưa và gió (nói khái quát); thường dùng để chỉ thời tiết: mưa gió thuận hoà,mưa gió thuận hoà
mưa móc,danh từ,"(cũ, văn chương) mưa và sương; dùng để ví ân huệ trên ban xuống: đội ơn mưa móc",đội ơn mưa móc
mưa rào,danh từ,"mưa hạt to và nhiều, mau tạnh, thường do các đám mây dông gây ra: trận mưa rào",trận mưa rào
mưa nắng,danh từ,"mưa và nắng thất thường, nói về mặt thời tiết gây ảnh hưởng đến sức khoẻ, đời sống: dãi dầu mưa nắng",dãi dầu mưa nắng
mưa mây,danh từ,"(cũ, văn chương) như mây mưa: ""Cũng là lỡ một, lầm hai, Đá vàng sao nỡ ép nài mưa mây!"" (TKiều)","""Cũng là lỡ một, lầm hai, Đá vàng sao nỡ ép nài mưa mây!"" (TKiều)"
mức sống,danh từ,mức đạt được của các điều kiện sinh hoạt vật chất và tinh thần: mức sống của người dân đã được cải thiện,mức sống của người dân đã được cải thiện
mức nước,danh từ,vị trí của mặt nước theo chiều cao so với mặt chuẩn: mức nước sông Hồng lên cao,mức nước sông Hồng lên cao
mực tàu,danh từ,"mực đen đóng thành thỏi, dùng mài vào nước để viết chữ Hán bằng bút lông hoặc để vẽ: mài mực tàu",mài mực tàu
mực thước,danh từ,"(cũ) cái dây mực và cái thước thợ mộc để lấy đường thẳng; những phép tắc, mẫu mực cần phải tuân theo: cha mẹ làm mực thước cho con cái",cha mẹ làm mực thước cho con cái
mưu chước,danh từ,"cách được coi là khôn khéo, có hiệu quả để thoát khỏi thế bí hay để làm được việc gì (nói khái quát): bày đặt mưu chước",bày đặt mưu chước
mưu lược,danh từ,mưu trí và sách lược (nói khái quát): mưu lược quân sự,mưu lược quân sự
mưu mẹo,danh từ,cách khôn khéo để đánh lừa đối phương nhằm thực hiện một ý định nào đó (nói khái quát): dùng mưu mẹo để lừa đối phương,dùng mưu mẹo để lừa đối phương
mưu toan,danh từ,(hiếm) sự mưu toan: một người lắm mưu toan,một người lắm mưu toan
mưu trí,danh từ,mưu kế và tài trí (nói khái quát): dùng mưu trí để đối phó,dùng mưu trí để đối phó
nam cao,danh từ,"giọng nam ở âm khu cao nhất, thường hát giai điệu chính trong hợp xướng: ca sĩ có giọng nam cao",ca sĩ có giọng nam cao
nam cực,danh từ,cực phía nam của Trái Đất: khí hậu ở vùng Nam Cực * chim cánh cụt sống ở Nam Cực,khí hậu ở vùng Nam Cực * chim cánh cụt sống ở Nam Cực
nam bình,danh từ,"điệu ca Huế có tính chất dịu dàng, trìu mến: câu nam ai, nam bình","câu nam ai, nam bình"
nam giới,danh từ,"những người thuộc về giới không thể đẻ con (nói tổng quát); phân biệt với nữ giới: cánh nam giới * không phân biệt nam giới, nữ giới","cánh nam giới * không phân biệt nam giới, nữ giới"
nam tính,danh từ,giới tính nam; phân biệt với nữ tính: có nam tính mạnh mẽ,có nam tính mạnh mẽ
nam trầm,danh từ,"giọng nam ở âm khu thấp, thường ấm và khoẻ: giọng nam trầm",giọng nam trầm
nam nhi,danh từ,"(cũ, văn chương) đàn ông, con trai, thường nói về mặt có chí khí, có tính cách mạnh mẽ (nói khái quát); phân biệt với nữ nhi: đấng nam nhi * chí nam nhi",đấng nam nhi * chí nam nhi
nan hoa,danh từ,thanh sắt nhỏ đan chéo nhau và nối trục bánh xe với vành bánh xe: xe bị gãy nan hoa * nan hoa xe đạp,xe bị gãy nan hoa * nan hoa xe đạp
nạn nhân,danh từ,người bị tai nạn: cứu vớt nạn nhân bị đắm tàu * nạn nhân vụ hoả hoạn,cứu vớt nạn nhân bị đắm tàu * nạn nhân vụ hoả hoạn
nạn nhân,danh từ,người phải chịu hậu quả của một tai hoạ xã hội hay một chế độ bất công: nạn nhân chiến tranh,nạn nhân chiến tranh
nàng thơ,danh từ,(văn chương) nguồn cảm hứng cho sáng tác thơ trong tâm hồn thi sĩ: đi tìm nàng thơ,đi tìm nàng thơ
nanh sấu,danh từ,"nanh cá sấu, mọc cái ra cái vào; dùng để ví cách trồng cây thành từng hàng so le với nhau: cây trồng theo lối nanh sấu",cây trồng theo lối nanh sấu
nanh vuốt,danh từ,"nanh và vuốt của thú dữ; dùng để ví những kẻ giúp việc đắc lực như một thứ vũ khí sắc bén, tạo nên sức mạnh lợi hại (nói khái quát): viên tướng là nanh vuốt của nhà vua",viên tướng là nanh vuốt của nhà vua
nanh vuốt,danh từ,"sự kìm kẹp tàn ác, dã man: rơi vào nanh vuốt của kẻ thù",rơi vào nanh vuốt của kẻ thù
nát bàn,danh từ,"thế giới tưởng tượng, nơi con người thoát khỏi vòng luân hồi và mọi sự đau khổ (cái đích của sự tu hành theo đạo Phật): cõi niết bàn",cõi niết bàn
nay mai,danh từ,"những ngày sắp tới, không cụ thể là ngày nào (nói khái quát): việc này chỉ nay mai là xong",việc này chỉ nay mai là xong
năm bảy,danh từ,"số lượng tương đối nhiều, khoảng từ năm đến bảy: ốm mất năm bảy ngày * ""Đàn ông năm bảy lá gan, Lá ở cùng vợ, lá toan cùng người."" (ca dao)","ốm mất năm bảy ngày * ""Đàn ông năm bảy lá gan, Lá ở cùng vợ, lá toan cùng người."" (ca dao)"
nắm đấm,danh từ,như quả đấm: giơ nắm đấm lên doạ,giơ nắm đấm lên doạ
năm học,danh từ,"thời gian học ở trường, từ ngày khai giảng cho đến lúc nghỉ hè, đủ để học xong một lớp: kết thúc một năm học * khai giảng năm học mới",kết thúc một năm học * khai giảng năm học mới
năm kia,danh từ,năm liền trước năm ngoái: Tết năm kia * ra trường từ năm kia,Tết năm kia * ra trường từ năm kia
năm ngoái,danh từ,"năm vừa qua, liền trước năm hiện tại: chuyện xảy ra từ năm ngoái",chuyện xảy ra từ năm ngoái
năm tháng,danh từ,"khoảng thời gian dài, không xác định, thường là trong quá khứ: trải qua nhiều năm tháng gian khổ * nỗi đau đã chìm vào năm tháng",trải qua nhiều năm tháng gian khổ * nỗi đau đã chìm vào năm tháng
năng lực,danh từ,"khả năng, điều kiện chủ quan hoặc tự nhiên sẵn có để thực hiện một hoạt động nào đó: con người có năng lực tư duy * chứng minh năng lực tài chính",con người có năng lực tư duy * chứng minh năng lực tài chính
